ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
40,28,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,193,3075.3316062176164,1655.419689119171,50.352090441231745,5.881932843355529,38.9198310220758,3075.3316062176164,1655.419689119171,0,28
40,29,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,447,2379.6375838926174,1846.275167785235,103.7462748414426,6.00385061273648,-85.10500942944988,2379.6375838926174,1846.275167785235,0,29
40,30,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,366,2943.937158469945,2034.2295081967213,88.89571909681175,6.201561479726355,29.186163182295207,2943.937158469945,2034.2295081967213,0,30
40,31,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,278,667.2553956834532,2031.679856115108,63.476042330631195,6.3194844073585275,22.63789144582014,667.2553956834532,2031.679856115108,0,31
40,32,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,184,2682.8858695652175,2037.858695652174,43.79124559819656,6.055451376907454,64.92709069185233,2682.8858695652175,2037.858695652174,0,32
40,33,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,367,2852.408719346049,2077.8610354223433,98.15894137037093,5.701817802486718,46.42774657394025,2852.408719346049,2077.8610354223433,0,33
40,34,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,413,1991.6803874092009,2122.8958837772398,98.45088785758054,6.5062668819586955,-57.13666451273365,1991.6803874092009,2122.8958837772398,0,34
40,35,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,294,2366.8333333333335,2150.812925170068,79.09731265562208,6.183023690838051,35.2580926593433,2366.8333333333335,2150.812925170068,0,35
40,36,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,165,2270.4060606060607,2184.969696969697,38.08727758983622,6.358273514479724,-9.79482860342342,2270.4060606060607,2184.969696969697,0,36
40,37,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,226,2717.641592920354,2339.991150442478,55.25227998285821,6.084637936232512,29.68762370175581,2717.641592920354,2339.991150442478,0,37
40,38,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,291,2168.4295532646047,2361.6494845360826,75.76824019467581,5.764097189119413,-53.34453291867348,2168.4295532646047,2361.6494845360826,0,38
40,39,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,429,1913.3193473193473,2385.983682983683,98.82419978518763,6.472593551576172,10.58736934170181,1913.3193473193473,2385.983682983683,0,39
40,40,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,137,2609.5547445255474,2406.299270072993,36.33885294442081,5.715220761761089,53.144967818441124,2609.5547445255474,2406.299270072993,0,40
40,41,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,259,2840.3474903474903,2427.6023166023165,58.821737348116876,5.965494227070573,82.20394387838084,2840.3474903474903,2427.6023166023165,0,41
40,42,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,240,2722.2375,2485.5416666666665,53.22487613288574,6.259575293994991,14.614262625627779,2722.2375,2485.5416666666665,0,42
40,43,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,403,1094.9354838709678,2522.3548387096776,92.84800795910274,6.021879006364258,-88.12739475840128,1094.9354838709678,2522.3548387096776,0,43
40,44,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,226,2414.8982300884954,2568.9115044247787,55.61758055818203,5.742628870391221,29.674506715270038,2414.8982300884954,2568.9115044247787,0,44
40,45,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,327,2511.039755351682,2625.920489296636,88.08202007311723,5.332961195425025,50.74482292674343,2511.039755351682,2625.920489296636,0,45
40,46,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,309,2359.3171521035597,2666.453074433657,71.49162470642963,6.4373068682495065,-68.74212007705086,2359.3171521035597,2666.453074433657,0,46
40,47,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,361,921.775623268698,2757.2631578947367,90.17863877610903,6.894081913534106,32.29529339108484,921.775623268698,2757.2631578947367,0,47
40,48,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,255,2532.521568627451,2755.6823529411763,65.70862682484568,5.5830286863826695,49.330030345953936,2532.521568627451,2755.6823529411763,0,48
